sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,new,featured,guest_checkout,length,width,height,weight,tax_category_name,price,cost,special_price,special_price_from,special_price_to,customer_group_prices,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,configurable_variants,bundle_options,associated_skus
BRACELET-AGATE-001,,fr,default,simple,Bijoux/Bracelets,"01_Agate-Face.jpg,02_Agate-Detail.jpg",Bracelet Agate Création Artisanale,Magnifique bracelet de création artisanale confectionné avec soin. Composé de perles semi-précieuses en agate associées à des perles d'argent plaqué or ce bracelet incarne l'élégance et l'authenticité. Chaque création est unique mettant en avant le savoir-faire traditionnel. Parfait comme cadeau ou pour ajouter une touche de sophistication à votre collection de bijoux,Bracelet unique en agate avec perles argent plaqué or,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bracelet-agate-creation-greedys,Bracelet Agate Création Greedys Martigues,agate bracelet création artisanal Greedys Martigues perles argent semi-précieux,Bracelet agate artisanal Greedys à Martigues - Création unique avec perles semi-précieuses,1,default=1,BRACELET-AGATE-PERIDOT-001,BAGUE-DORE-001|BAGUE-FLEUR-001,,,,
BRACELET-AGATE-PERIDOT-001,,fr,default,simple,Bijoux/Bracelets,"01_Agate-Peridot-Face.jpg,02_Agate-Peridot-Detail.jpg",Bracelet Double Rang Agate Péridot,Bracelet double rang de prestige créé avec soin. Cette création unique combine l'agate et la péridot dans une harmonie parfaite. Confectionné avec des perles d'argent plaqué or et chaînes en acier ce bracelet présente une longueur de 16 cm augmentée d'une chaîne d'extension de 5 cm pour s'adapter à tous les poignets. Les pierres semi-précieuses utilisées offrent une beauté intemporelle,Bracelet double rang agate et péridot avec chaîne d'extension ajustable,1,1,0,0,1,,,0.2,0.2,,39,,,,,,bracelet-agate-peridot-greedys,Bracelet Double Rang Agate Péridot Greedys,bracelet double rang agate péridot Greedys Martigues artisanal pierre semi-précieuse,Bracelet double rang artisanal agate et péridot par Greedys à Martigues - Longueur 16 cm plus chaîne 5 cm,1,default=1,BRACELET-AGATE-001,BAGUE-CRISTAUX-BLEUS-001|BAGUE-CRISTAUX-MULTICOLORES-001,,,,
BAGUE-DORE-001,,fr,default,simple,Bijoux/Bagues,"01_Dore-001-Face.jpg,02_Dore-001-Detail.jpg",Bague Acier Doré Réglable,Élégante bague en acier inoxydable doré créée artisanalement. Ce bijou allie finesse et durabilité parfait pour un port quotidien ou occasionnel. Réglable elle s'adapte à tous les doigts offrant confort et style. Le placage doré apporte une chaleur et une luminosité remarquables. Cette création simple mais sophistiquée est idéale comme cadeau,Bague acier inoxydable doré réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-acier-dore-reglable,Bague Acier Doré Réglable Greedys Martigues,bague acier doré réglable Greedys Martigues artisanal bijou,Bague réglable en acier doré - Création artisanale Greedys à Martigues,1,default=1,BAGUE-DORE-002,BRACELET-AGATE-001|BAGUE-FLEUR-001,,,,
BAGUE-CRISTAUX-BLEUS-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Bleus-Face.jpg,02_Cristaux-Bleus-Detail.jpg,03_Cristaux-Bleus-Angle.jpg",Bague Cristaux Bleus,Magnifique bague en acier inoxydable doré ornée de cristaux bleus scintillants création exclusive artisanale. Les cristaux bleus apportent une touche d'élégance et de mystère reflétant la lumière avec brillance. Cette bague allie esthétique raffinée et qualité artisanale. Réglable pour un confort optimal elle convient à tous les types de doigts,Bague cristaux bleus en acier doré réglable,1,1,0,0,1,,,0.2,0.2,,32,,,,,,bague-cristaux-bleus,Bague Cristaux Bleus Greedys Martigues,bague cristaux bleus acier doré Greedys Martigues artisanal prestige,Bague cristaux bleus créée artisanalement par Greedys - Acier doré réglable,1,default=1,BAGUE-CRISTAUX-MULTICOLORES-001,BRACELET-AGATE-PERIDOT-001,,,,
BAGUE-CRISTAUX-MULTICOLORES-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Multicolores-Face.jpg,02_Cristaux-Multicolores-Detail.jpg,03_Cristaux-Multicolores-Angle.jpg",Bague Cristaux Multicolores,Bague exceptionnelle en acier inoxydable doré création unique artisanale agrémentée de cristaux multicolores en jaune vert et blanc. Cette harmonie de couleurs crée un jeu de lumière captivant et sophistiqué. Les cristaux sont soigneusement sélectionnés et montés à la main pour garantir une qualité supérieure. Réglable pour s'adapter à votre morphologie,Bague multicolore cristaux jaune vert blanc,1,1,0,0,1,,,0.2,0.2,,32,,,,,,bague-cristaux-multicolores,Bague Cristaux Multicolores Greedys Martigues,bague cristaux multicolores jaune vert blanc acier doré Greedys Martigues,Bague cristaux jaune vert blanc en acier doré par Greedys à Martigues,1,default=1,BAGUE-CRISTAUX-BLEUS-001,BRACELET-AGATE-PERIDOT-001,,,,
BAGUE-FLEUR-001,,fr,default,simple,Bijoux/Bagues,"01_Fleur-Face.jpg,02_Fleur-Detail.jpg",Bague Fleur Dorée,Charmante bague fleur en acier inoxydable doré création artisanale signée. Ce motif floral délicat incarne l'élégance intemporelle et la féminité. Le design minutieux de la fleur en relief apporte profondeur et caractère au bijou. Réglable elle offre un confort maximal pour un port prolongé. Parfaite pour un cadeau significatif,Bague fleur dorée réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-fleur-dore,Bague Fleur Dorée Greedys Martigues,bague fleur acier doré Greedys Martigues artisanal réglable,Bague fleur en acier doré réglable par Greedys à Martigues,1,default=1,BAGUE-DORE-001|BAGUE-DORE-002,BRACELET-AGATE-001|BAGUE-DORE-001,,,,
BAGUE-DORE-002,,fr,default,simple,Bijoux/Bagues,"01_Dore-002-Face.jpg,02_Dore-002-Detail.jpg",Bague Acier Doré Premium Réglable,Bague premium en acier inoxydable doré création raffinée artisanale. Ce bijou épuré au design moderne incarne la simplicité élégante. Le placage doré de qualité supérieure garantit durabilité et éclat durable. Parfaitement réglable elle s'adapte à tous les doigts pour un confort sans égal. Idéale pour un usage quotidien ou comme bijou de prestige,Bague acier doré réglable premium,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-acier-dore-premium,Bague Acier Doré Premium Greedys Martigues,bague acier doré premium réglable Greedys Martigues artisanal,Bague premium en acier doré réglable par Greedys à Martigues,1,default=1,BAGUE-DORE-001,BRACELET-AGATE-001,,,,
BAGUE-BOIS-001,,fr,default,simple,Bijoux/Bagues,"01_Bois-Face.jpg,02_Bois-Detail.jpg,03_Bois-Angle.jpg",Bague Acier et Bois Réglable,Magnifique bague alliant acier inoxydable et bois naturel création unique artisanale. Cette alliance de matériaux nobles crée un contraste élégant entre le métal et le bois véritable. La chaleur du bois apporte une touche organique et authentique à ce bijou contemporain. Réglable pour un confort optimal cette bague convient à tous les doigts. Idéale pour les amateurs de créations nature et raffinées,Bague acier inoxydable et bois réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-acier-bois-reglable,Bague Acier et Bois Greedys Martigues,bague acier bois naturel réglable Greedys Martigues artisanal nature,Bague acier et bois naturel réglable par Greedys à Martigues - Création unique,1,default=1,BAGUE-OEIL-TIGRE-001,BAGUE-TURQUOISE-001,,,,
BAGUE-CRISTAUX-VERTS-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Verts-Face.jpg,02_Cristaux-Verts-Detail.jpg,03_Cristaux-Verts-Angle.jpg",Bague Cristaux Verts,Superbe bague en acier inoxydable ornée de cristaux verts éclatants création exclusive artisanale. Les cristaux verts jade et émeraude créent un ensemble harmonieux et raffiné évoquant la nature et la vitalité. Cette bague allie élégance et qualité artisanale avec un soin particulier apporté aux détails. Réglable pour s'adapter parfaitement à votre morphologie,Bague cristaux verts jade émeraude réglable,1,1,0,0,1,,,0.2,0.2,,32,,,,,,bague-cristaux-verts,Bague Cristaux Verts Greedys Martigues,bague cristaux verts jade émeraude acier Greedys Martigues artisanal,Bague cristaux verts créée artisanalement par Greedys - Acier inoxydable réglable,1,default=1,BAGUE-CRISTAUX-BLEUS-001|BAGUE-CRISTAUX-MULTICOLORES-001,BAGUE-CRISTAUX-BRUN-001,,,,
BAGUE-OEIL-TIGRE-001,,fr,default,simple,Bijoux/Bagues,"01_Oeil-Tigre-Face.jpg,02_Oeil-Tigre-Detail.jpg",Bague Oeil de Tigre,Élégante bague en acier inoxydable sertie d'une pierre d'œil de tigre naturelle création artisanale. L'œil de tigre aux reflets chatoyants brun doré apporte caractère et mystère à ce bijou unique. Cette pierre naturelle est réputée pour sa beauté et ses propriétés protectrices. Réglable cette bague s'adapte à tous les doigts avec élégance. Pièce authentique pour les amateurs de pierres naturelles,Bague pierre œil de tigre naturelle réglable,1,1,0,0,1,,,0.2,0.2,,39,,,,,,bague-oeil-de-tigre,Bague Oeil de Tigre Greedys Martigues,bague œil de tigre pierre naturelle acier Greedys Martigues artisanal,Bague œil de tigre naturel en acier inoxydable par Greedys à Martigues,1,default=1,BAGUE-TURQUOISE-001,BAGUE-BOIS-001,,,,
BAGUE-TURQUOISE-001,,fr,default,simple,Bijoux/Bagues,"01_Turquoise-Face.jpg,02_Turquoise-Detail.jpg",Bague Turquoise Africaine,Magnifique bague en acier inoxydable ornée de turquoise africaine authentique création exclusive artisanale. La turquoise africaine aux nuances bleues et vertes apporte une touche d'exotisme et de raffinement. Cette pierre naturelle est appréciée pour sa beauté unique et ses vertus apaisantes. Réglable pour un confort optimal cette bague convient à toutes les morphologies. Bijou précieux pour les collectionneurs de pierres naturelles,Bague turquoise africaine naturelle réglable,1,1,0,0,1,,,0.2,0.2,,39,,,,,,bague-turquoise-africaine,Bague Turquoise Africaine Greedys Martigues,bague turquoise africaine pierre naturelle acier Greedys Martigues artisanal,Bague turquoise africaine naturelle en acier par Greedys à Martigues,1,default=1,BAGUE-OEIL-TIGRE-001,BAGUE-BOIS-001,,,,
BAGUE-CRISTAUX-BRUN-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Brun-Face.jpg,02_Cristaux-Brun-Detail.jpg,03_Cristaux-Brun-Angle.jpg",Bague 3 Cristaux Brun Blanc Ambre,Bague raffinée en acier inoxydable ornée de 3 cristaux aux nuances chaleureuses brun blanc et ambre création artisanale. Cette combinaison de couleurs crée une harmonie élégante et intemporelle. Les cristaux sont soigneusement sélectionnés pour leur éclat et leur qualité. Réglable cette bague s'adapte confortablement à tous les doigts. Parfaite pour ajouter une touche de sophistication à votre tenue,Bague 3 cristaux brun blanc ambre réglable,1,1,0,0,1,,,0.2,0.2,,29,,,,,,bague-3-cristaux-brun-blanc-ambre,Bague 3 Cristaux Brun Blanc Ambre Greedys Martigues,bague cristaux brun blanc ambre acier Greedys Martigues artisanal,Bague 3 cristaux brun blanc ambre en acier par Greedys à Martigues,1,default=1,BAGUE-CRISTAUX-VERTS-001,BAGUE-CRISTAUX-BLEUS-001,,,,
BAGUE-CRISTAUX-NOIR-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Noir-Face.jpg,02_Cristaux-Noir-Detail.jpg,03_Cristaux-Noir-Angle.jpg",Bague 3 Cristaux Noir Gris Blanc,Élégante bague en acier inoxydable ornée de 3 cristaux dans une palette sophistiquée noir gris et blanc création artisanale. Cette combinaison de teintes neutres apporte une élégance intemporelle et polyvalente. Les cristaux reflètent subtilement la lumière créant un jeu de contrastes raffinés. Réglable cette bague s'adapte confortablement à tous les doigts. Parfaite pour compléter toute tenue avec discrétion et classe,Bague 3 cristaux noir gris blanc réglable,1,1,0,0,1,,,0.2,0.2,,29,,,,,,bague-3-cristaux-noir-gris-blanc,Bague 3 Cristaux Noir Gris Blanc Greedys Martigues,bague cristaux noir gris blanc acier Greedys Martigues artisanal,Bague 3 cristaux noir gris blanc en acier par Greedys à Martigues,1,default=1,BAGUE-CRISTAUX-BRUN-001,BAGUE-CRISTAL-001,,,,
BAGUE-CRISTAL-001,,fr,default,simple,Bijoux/Bagues,"01_Cristal-Face.jpg,02_Cristal-Detail.jpg,03_Cristal-Angle.jpg,04_Cristal-Profil.jpg",Bague Cristal,Ravissante bague en acier inoxydable ornée d'un cristal scintillant création artisanale. Le cristal central capte et reflète la lumière avec une brillance exceptionnelle. Cette bague minimaliste et élégante incarne la sobriété raffinée. Réglable elle s'adapte à tous les doigts pour un confort optimal. Bijou polyvalent parfait pour un usage quotidien ou des occasions spéciales,Bague cristal unique réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-cristal-unique,Bague Cristal Greedys Martigues,bague cristal acier inoxydable Greedys Martigues artisanal,Bague cristal unique en acier inoxydable par Greedys à Martigues,1,default=1,BAGUE-CRISTAUX-002,BAGUE-CRISTAUX-NOIR-001,,,,
BAGUE-CRISTAUX-002,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-002-Face.jpg,02_Cristaux-002-Detail.jpg",Bague Cristaux,Superbe bague en acier inoxydable ornée de cristaux éclatants création exclusive artisanale. Les cristaux disposés harmonieusement créent un effet lumineux captivant. Cette bague allie modernité et élégance avec un design soigné. Réglable pour s'adapter parfaitement à votre morphologie. Pièce raffinée qui apportera une touche de brillance à toutes vos tenues,Bague cristaux scintillants réglable,1,1,0,0,1,,,0.2,0.2,,32,,,,,,bague-cristaux-scintillants,Bague Cristaux Greedys Martigues,bague cristaux acier inoxydable Greedys Martigues artisanal brillant,Bague cristaux scintillants en acier par Greedys à Martigues,1,default=1,BAGUE-CRISTAL-001,BAGUE-CRISTAUX-BLEUS-001,,,,
BAGUE-RESINE-BLEUE-001,,fr,default,simple,Bijoux/Bagues,"01_Resine-Bleue-Face.jpg,02_Resine-Bleue-Detail.jpg,03_Resine-Bleue-Angle.jpg",Bague Résine Bleue,Magnifique bague en acier inoxydable incrustée de résine bleue aux reflets profonds création unique artisanale. La résine bleue apporte une touche de couleur vibrante et moderne à ce bijou contemporain. Chaque pièce est unique grâce aux variations naturelles de la résine. Réglable cette bague convient à tous les doigts. Bijou original pour les amateurs de créations colorées et audacieuses,Bague résine bleue acier réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-resine-bleue,Bague Résine Bleue Greedys Martigues,bague résine bleue acier inoxydable Greedys Martigues artisanal unique,Bague résine bleue unique en acier par Greedys à Martigues,1,default=1,BAGUE-RESINE-LEOPARD-001,BAGUE-CRISTAUX-002,,,,
BAGUE-RESINE-LEOPARD-001,,fr,default,simple,Bijoux/Bagues,"01_Resine-Leopard-Face.jpg,02_Resine-Leopard-Detail.jpg,03_Resine-Leopard-Angle.jpg",Bague Résine Léopard,Audacieuse bague en acier inoxydable incrustée de résine au motif léopard création exclusive artisanale. Le motif léopard apporte une touche sauvage et tendance à ce bijou unique. La résine offre des nuances brunes et noires captivantes. Réglable pour s'adapter parfaitement à votre doigt. Bijou original et affirmé pour les personnalités audacieuses,Bague résine motif léopard réglable,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bague-resine-leopard,Bague Résine Léopard Greedys Martigues,bague résine léopard acier inoxydable Greedys Martigues artisanal tendance,Bague résine motif léopard en acier par Greedys à Martigues,1,default=1,BAGUE-RESINE-BLEUE-001,BAGUE-BOIS-001,,,,
BAGUE-CRISTAUX-JADE-001,,fr,default,simple,Bijoux/Bagues,"01_Cristaux-Jade-Face.jpg,02_Cristaux-Jade-Detail.jpg,03_Cristaux-Jade-Angle.jpg",Bague 3 Cristaux Vert Jade Émeraude,Superbe bague en acier inoxydable ornée de 3 cristaux verts dans les tons jade et émeraude création artisanale. Cette harmonie de verts évoque la nature et la sérénité apportant fraîcheur et vitalité. Les cristaux aux nuances subtiles créent un ensemble raffiné et lumineux. Réglable pour s'adapter à tous les doigts. Bijou élégant parfait pour les amoureux des tons naturels,Bague 3 cristaux vert jade émeraude réglable,1,1,0,0,1,,,0.2,0.2,,29,,,,,,bague-3-cristaux-vert-jade-emeraude,Bague 3 Cristaux Vert Jade Émeraude Greedys Martigues,bague cristaux vert jade émeraude acier Greedys Martigues artisanal nature,Bague 3 cristaux vert jade émeraude en acier par Greedys à Martigues,1,default=1,BAGUE-CRISTAUX-VERTS-001,BAGUE-CRISTAUX-BRUN-001,,,,
